"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","city","verified","photos","state","description"
"0x39eb1900fdd5f273:0xe62d634aca63bdf9","+97714225743","Tri-Chandra Multiple Campus","Tri-Chandra Multiple Campus,   , Kathmandu 44605, Nepal","27.708713499999998","85.3165204","425","4.1","Asia/Katmandu","http://trichandracampus.edu.np/","ChIJc_LV_QAZ6zkR-b1jykpjLeY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1900fdd5f273:0xe62d634aca63bdf9","College","","6 AM-7 PM","6 AM-7 PM","6 AM-7 PM","6 AM-7 PM","6 AM-7 PM","6 AM-7 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipO29etsrw7Wgo5yU1fostYl36XrV0sDydmv8FZY=w203-h149-k-no","Open . Closes 7 PM",""
"0x39eb19a7a682800f:0x9b33a944daf8c713","+97714420928","Platinum Management College","Platinum Management College, Kalika Marg, Kathmandu 44600, Nepal","27.703659299999998","85.32627959999999","42","4.1","Asia/Katmandu","http://www.platinumcollege.edu.np/","ChIJD4CCpqcZ6zkRE8f42kSpM5s","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19a7a682800f:0x9b33a944daf8c713","College","","6:30 AM-4:30 PM","6:30 AM-4:30 PM","6:30 AM-4:30 PM","6:30 AM-4:30 PM","6:30 AM-4:30 PM","6:30 AM-4:30 PM","6:30 AM-4:30 PM","Kathmandu, Nepal","true","https://lh3.googleusercontent.com/gps-proxy/ALd4DhHNmU9eX-clLDFNKEV0wCRcLH05zdVuMdhMJU5A_rzZk-HpEinAQwJHIlcj0cRMgN02Tz0yfmaj_AbnrFaXgx6D6f9ambIXsOIkxJxHlrAZ9J9hwoh4402g9s1qr4SYL8yjEyhwaHqvW1JaIV85HKvfbQJue_GLYhbRiEiBywaNFsKDg-TK7h2_lLm0brkFzTqcjg=w203-h114-k-no","Open . Closes 4:30 PM",""
"0x39eb1997be951f0f:0x75901cacb6188535","+97714588274","Shepherd College","Shepherd College, Kathmandu 44600, Nepal","27.689079699999997","85.3444148","17","4.6","Asia/Katmandu","https://shepherd.edu.np/","ChIJDx-VvpcZ6zkRNYUYtqwckHU","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1997be951f0f:0x75901cacb6188535","College","","9 AM-5 PM","9 AM-5 PM","9 AM-5 PM","9 AM-5 PM","9 AM-5 PM","9 AM-5 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipNY0dubui3jugAWdr7QqWwK7FjQcYw9f8tCmTn-=w203-h270-k-no","Open . Closes 5 PM",""
"0x39eb198b3e45f613:0x7dddec50d303ffdb","+97715911325","The Westminster College","M8Q8+79W The Westminster College, Lalitpur 44600, Nepal","27.6878921","85.3160802","31","4.6","Asia/Katmandu","https://thewestminstercollege.edu.np/","ChIJE_ZFPosZ6zkR2_8D01Ds3X0","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb198b3e45f613:0x7dddec50d303ffdb","College","","9 AM-6 PM","8 AM-6 PM","8 AM-6 PM","8 AM-6 PM","8 AM-6 PM","8 AM-6 PM","Closed","Lalitpur, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipON62ND0_LkCUUehvBKtEGjN6-T1TS5VSdKq8QO=w203-h135-k-no","Open . Closes 6 PM",""
"0x39eb190add408821:0x4cacf83c66c91077","","Central College of Vocational Training Pvt. Ltd.","P83C+5W8 Central College of Vocational Training Pvt. Ltd., Kathmandu 44600, Nepal","27.702903199999998","85.3223369","141","4.9","Asia/Katmandu","https://www.centralcollege.com.np/","ChIJIYhA3QoZ6zkRdxDJZjz4rEw","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb190add408821:0x4cacf83c66c91077","Educational institution","","7 AM-5 PM","7 AM-5 PM","7 AM-5 PM","7 AM-5 PM","7 AM-5 PM","7 AM-5 PM","Closed","Kathmandu, Nepal","false","https://lh5.googleusercontent.com/p/AF1QipOYv7CsALfKqH9GTyMQ_HadAwyJf2ba7m2HtVw7=w203-h152-k-no","Open . Closes 5 PM",""
"0x39eb1999ce231acd:0xa2299291f16aff4d","+9779851178278","SAIM College","SAIM College, Devkota Sadak, Kathmandu 44600, Nepal","27.7004611","85.33909919999999","93","4.5","Asia/Katmandu","http://www.saim.edu.np/","ChIJzRojzpkZ6zkRTf9q8ZGSKaI","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb1999ce231acd:0xa2299291f16aff4d","Private college","","6:15 AM-5 PM","6:15 AM-5 PM","6:15 AM-5 PM","6:15 AM-5 PM","6:15 AM-5 PM","6:15 AM-5 PM","6:15 AM-5 PM","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipPXwUmxhMBchazaldne9eDwi9Mt7EbQXrr1mzLI=w203-h152-k-no","Open . Closes 5 PM",""
"0x39eb19711fc67af3:0x4ec22ef7b705ac5","+97714588627","Texas College of Management & IT","Texas College of Management & IT, Sifal, Kathmandu 44600, Nepal","27.713561499999997","85.34248389999999","150","3.4","Asia/Katmandu","http://texascollege.edu.np/","ChIJ83rGH3EZ6zkRxVpwe-8i7AQ","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19711fc67af3:0x4ec22ef7b705ac5","College, Educational institution","","5:30 AM-4 PM","5:30 AM-4 PM","5:30 AM-4 PM","5:30 AM-4 PM","5:30 AM-4 PM","5:30 AM-4 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipMR078-WmPMXRIbWJq7ouVTaWfTjiMHgg4He6BA=w203-h135-k-no","Open . Closes 4 PM",""
"0x39eb199447158d85:0x6b7e812a798b4b2a","+97714790266","Nova International College","Nova International College,  , Kathmandu 44600, Nepal","27.686878999999998","85.337767","13","4.4","Asia/Katmandu","","ChIJhY0VR5QZ6zkRKkuLeSqBfms","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb199447158d85:0x6b7e812a798b4b2a","College","","6 AM-5 PM","6 AM-5 PM","6 AM-5 PM","6 AM-5 PM","6 AM-5 PM","6 AM-5 PM","Closed","Kathmandu, Nepal","true","https://lh5.googleusercontent.com/p/AF1QipNIUqwgW3L_MvHiMlivG1deOiCT-jezyE1dykQG=w203-h143-k-no","Open . Closes 5 PM",""
"0x39eb19a90c463837:0x615fe35cfb3187d1","+97714227193","Balmiki Campus (Sanskrit college)  ","P82C+Q4W Balmiki Campus (Sanskrit college)  , Kathmandu 44600, Nepal","27.7019955","85.32031309999999","40","4.5","Asia/Katmandu","https://www.facebook.com/Valmeeki.nsu?mibextid=ZbWKwL","ChIJNzhGDKkZ6zkR0Ycx-1zjX2E","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19a90c463837:0x615fe35cfb3187d1","University","","10 AM-5 PM","10 AM-5 PM","10 AM-5 PM","10 AM-5 PM","10 AM-5 PM","10 AM-5 PM","Closed","Kathmandu, Nepal","false","https://lh5.googleusercontent.com/p/AF1QipO80e51Jgk3zTiT1VkOy3dXUPI2FxrlPSolL6PK=w203-h152-k-no","Open . Closes 5 PM",""
"0x39eb19a35ae3bc27:0xe958e4fbbefbfc50","+97715172175","Madan Bhandari Memorial College","Madan Bhandari Memorial College, Rudmatti Marg, Kathmandu 44600, Nepal","27.695102799999997","85.3293644","230","4","Asia/Katmandu","http://www.mbmc.edu.np/","ChIJJ7zjWqMZ6zkRUPz7vvvkWOk","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x39eb19a35ae3bc27:0xe958e4fbbefbfc50","Community college, University","","6 AM-7 PM","6 AM-7 PM","6 AM-7 PM","6 AM-7 PM","6 AM-7 PM","6 AM-7 PM","Closed","Kathmandu, Nepal","true","https://lh3.googleusercontent.com/gps-proxy/ALd4DhEG0U77gyn10Vpk8PpwmTTndTCcouEFtkb5FLjmtBBwgWw-1qwkcjZ43G8rvwP4GWyZEbUkqAGRpxCD2C66CyQQSDnQLWTPhogsB1e8G4KcGbXmW7dFFZ7r8Np3rF95TYP-hma5bJskfSM6aCuKXcx_c5qmMq8L1bm16hhfH2l9o3iEqsOHRc8gw_xyzwm-P9FzXg=w203-h114-k-no","Open . Closes 7 PM",""
